"id","companyName","companies_ID","meanBonus","meanHourly","medianBonus","medianHourly","reportLink","year","meanHourlyPT","medianHourlyPT","meanHourlyTemp","medianHourlyTemp","perBonusFemale","perBonusMale","perBIKFemale","perBIKMale","pb1Female","pb1Male","pb2Female","pb2Male","pb3Female","pb3Male","pb4Female","pb4Male","perEmployeesFemale","perEmployeesMale"
"365","The Revenue Commissioners","371",NULL,"4.90000",NULL,"-0.10000","https://www.revenue.ie/en/corporate/statutory-obligations/gender-pay-gap/documents/2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"366","TikTok","372","-3.40000","5.00000","-0.70000","1.40000","https://newsroom.tiktok.com/en-ie/gpg-study-2022","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"367","Tipperary County Council","373",NULL,"0.10000",NULL,"-5.40000","https://www.tipperarycoco.ie/sites/default/files/Gender%20Pay%20Gap%20Report%202022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"368","Tirlán (formerly Glanbia Ireland)","374","24.60000","18.50000","-30.50000","15.70000","https://www.tirlan.com/sites/default/files/2022-12/Gender%20Pay%20Gap%20report.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"369","TJX Ireland","375","11.20000","3.70000","-25.30000","-0.60000","https://www.tjx.com/docs/default-source/default-document-library/tjx-ireland-gender-pay-gap-statement.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"370","Top Oil","376","49.00000","25.40000","58.40000","37.30000","https://www.top.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-Final.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"371","Transport Infrastructure Ireland","377",NULL,"16.30000",NULL,"16.40000","https://www.tii.ie/tii-library/reports-accounts/tii-gender-pay-gap/TII-Gender-Pay-Gap-Report-2022-FINAL.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"372","Trend Micro","378","4.20000","9.40000","-16.80000","6.20000","https://www.trendmicro.com/en_ie/about/trust-center/company/ie-gender-gap.html","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"373","Trinity College Dublin","379",NULL,"11.00000",NULL,"11.00000","https://www.tcd.ie/hr/gender-pay-gap/tcd-gender-pay-gap-report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"374","Tusla Child and Family Agency","380",NULL,"5.00000",NULL,"4.00000","https://www.tusla.ie/uploads/content/Gender_Pay_Gap_Report_2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"375","Twitter Ireland","381","31.30000","18.40000","44.90000","19.20000","https://s22.q4cdn.com/826641620/files/doc_downloads/governance/2022/12/Irish-Gender-Pay-Gap-Report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"376","Uniphar: Hickey's Pharmacy Group Limited","382","25.40000","37.00000","0.00000","55.70000","https://www.uniphar.ie/staticMedia/2yxf0fzj/hickey-s-pharmacy-group-company-gender-pay-gap-report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"377","Uniphar: Medtech (formerly SISK Healthcare)","383","35.40000","25.90000","26.20000","28.40000","https://www.uniphar.ie/staticMedia/kluhiorl/sisk-healthcare-unlimited-company-gender-pay-gap-report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"378","Uniphar: Uniphar Wholesale Limited","384","42.70000","14.30000","7.10000","-1.10000","https://www.uniphar.ie/staticMedia/pwrplfyh/uniphar-wholesale-limited-gender-pay-gap-report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"379","University College Cork (UCC)","385",NULL,"16.10000",NULL,"17.40000","https://www.ucc.ie/en/media/aboutucc/presidentx27soffice/documents/UniversityCollegeCorkGenderPayGapReport2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"380","University College Dublin (UCD)","386",NULL,"7.70000",NULL,"7.70000","https://www.ucd.ie/president/t4media/UCD__Gender__Pay__Gap__Report.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"381","University of Limerick","387",NULL,"5.00000",NULL,"10.00000","https://www.ul.ie/presidents-office/university-profile/facts-and-figures/gender-pay-gap","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"382","Utmost International Ireland","388","23.00000","19.00000","10.00000","12.00000","https://utmostinternational.com/wp-content/uploads/2022/12/Utmost-International-Ireland-Gender-Pay-Gap-Report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"383","Valeo Foods","389","54.60000","11.40000","33.10000","-1.60000","https://valeofoods.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Narrative-FINAL.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"384","Veolia","390","8.70000","16.40000","12.70000","20.00000","https://www.veolia.ie/sites/g/files/dvc2576/files/document/2022/12/2022%20Gender%20and%20Pay%20gap%20report.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"385","Version 1","391","62.10000","12.10000","6.80000","11.10000","https://www.version1.com/wp-content/uploads/2022/11/Gender-Pay-Gap-Report-Ireland-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"386","VHI","392","31.00000","21.00000","18.00000","19.00000","https://www.vhi.ie/downloads/vhi-gender-pay-gap-report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"387","VMware","393","8.00000","8.40000","16.30000","14.00000","https://www.vmware.com/se/company/diversity/2022-gender-pay-gap-analysis-in-ireland.html","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"388","Vodafone (all legal entities)","394","9.80000","6.10000","15.40000","16.10000","https://n.vodafone.ie/content/dam/gowingmyself/pdfs/ireland-vodafone-gender-pay-gap-report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"389","Waterford City & County Council","395",NULL,"4.00000",NULL,"-1.60000","https://waterfordcouncil.ie/media/plans_strategies/gpg/Gender%20Pay%20Gap%20Report%202022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"390","Westmeath County Council","396",NULL,"1.30000",NULL,"-5.40000","https://www.westmeathcoco.ie/en/media/WCCGenderPayGapReport2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"391","Wexford County Council","397",NULL,"-0.40000",NULL,"4.20000","https://www.wexfordcoco.ie/news/2022/12/19/gender-pay-gap--press-release-0","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"392","Wicklow County Council","398",NULL,"-1.90000",NULL,"-4.60000","https://www.wicklow.ie/Portals/0/adam/Documents/UmfUG-Z2C0GU23lJyQo5Iw/Link/Wicklow%20County%20Council%20Gender%20Pay%20Gap%20Report%202022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"393","William Fry (excluding partners)","399","5.40000","-0.30000","30.00000","-10.60000","https://www.williamfry.com/docs/default-source/reports/wf_gender_pay_gap_report_2022.pdf?sfvrsn=c6abee5f_0","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"394","Windsor Motor Group","400","36.00000","5.00000","49.00000","1.00000","https://www.windsor.ie/news/gender-pay-gap-report/","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
