"id","companyName","companies_ID","meanBonus","meanHourly","medianBonus","medianHourly","reportLink","year","meanHourlyPT","medianHourlyPT","meanHourlyTemp","medianHourlyTemp","perBonusFemale","perBonusMale","perBIKFemale","perBIKMale","pb1Female","pb1Male","pb2Female","pb2Male","pb3Female","pb3Male","pb4Female","pb4Male","perEmployeesFemale","perEmployeesMale"
"2","3M","1","20.00000","7.40000","-45.00000","2.00000","https://web.archive.org/web/20230404104551/https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2022.pdf","2022",NULL,NULL,NULL,NULL,"9.00000","14.00000","96.00000","99.00000","35.00000","65.00000","31.00000","69.00000","31.00000","69.00000","29.00000","71.00000",NULL,NULL
"3","A&L Goodbody (excluding equity partners)","2","41.60000","20.90000","35.10000","22.70000","https://www.algoodbody.com/files/uploads/news_insights_pub/ALG_Gender_Pay_Gap_Report_2022.PDF","2022","9.20000","9.40000","2.80000","15.90000","54.70000","62.80000","84.50000","81.40000","66.40000","33.60000","66.20000","33.80000","60.60000","39.40000","57.90000","42.10000",NULL,NULL
"4","AA","3","-36.00000","6.00000","-51.00000","16.00000","https://www.theaa.ie/wp-content/uploads/2022/12/2022-AA-Ireland-Gender-Pay-Gap-Report_External-Final-Dec-2022-2.pdf","2022","-39.00000","2.00000","17.00000","14.00000","76.00000","80.00000","28.00000","37.00000","53.00000","47.00000","24.00000","76.00000","19.00000","81.00000","27.00000","73.00000","31.00000","69.00000"
"5","Abbott Ireland (all legal entities)","4","23.20000","12.20000","5.70000","7.70000","https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/Gender-Gap-Infographic-Nov2022-CP-Abbott-Ireland.pdf","2022","-22.00000","-19.30000","4.70000","-2.30000","72.90000","75.90000","57.20000","51.90000","51.30000","48.70000","52.00000","48.00000","48.90000","51.10000","37.90000","62.10000",NULL,NULL
"6","AbbVie Sligo","5","19.10000","11.60000","18.20000","10.90000","https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Sligo-FINAL.pdf","2022","41.90000","41.80000","5.50000","11.30000","86.00000","94.00000","74.40000","84.20000","36.30000","63.70000","30.60000","69.40000","32.80000","67.20000","28.10000","71.90000","32.00000","68.00000"
"7","AbbVie Westport","6","5.60000","4.20000","-56.40000","10.90000","https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Westport-FINAL.pdf","2022","83.70000","86.50000","-3.30000","-2.70000","91.60000","92.10000","90.10000","93.60000","41.40000","58.60000","37.20000","62.80000","50.70000","49.30000","42.20000","57.80000","43.00000","57.00000"
"8","ABP Food Group: ABP Ireland","7","81.70000","18.40000","0.00000","8.30000","https://web.archive.org/web/20230403123714/https://www.abpireland.com/wp-content/uploads/2022/12/ABP-Ireland-GenderPayGap-Final-Report.pdf","2022",NULL,NULL,NULL,NULL,"83.00000","86.70000",NULL,NULL,"31.30000","68.70000","26.10000","73.90000","13.40000","86.80000","17.00000","83.00000",NULL,NULL
"9","ABP Food Group: C&D Foods","8","71.40000","20.40000","0.00000","0.00000","https://cdfoods.com/wp-content/uploads/2023/12/CD-GenderPayGap-Final-Report-2022.pdf","2022",NULL,NULL,NULL,NULL,"93.00000","93.10000",NULL,NULL,"57.60000","42.40000","21.00000","79.00000","44.90000","55.10000","33.30000","66.70000",NULL,NULL
"10","ABP Food Group: Irish Country Meats","9","64.80000","15.10000","0.00000","7.00000","https://irishcountrymeats.com/wp-content/uploads/2022/12/20221221_ICM-GenderPayGap-final-draft-report.pdf","2022",NULL,NULL,NULL,NULL,"66.90000","72.80000",NULL,NULL,"41.10000","58.90000","23.00000","77.00000","21.90000","78.10000","21.20000","78.80000",NULL,NULL
"11","Abtran","10","25.80000","12.60000","0.00000","1.50000","https://web.archive.org/web/20230404121929/https://www.abtran.com/wp-content/uploads/2022/12/Abtran%20Gender%20Pay%20Gap%20Report%202022.pdf","2022","-24.31000","-0.95000","25.67000","24.87000","39.83000","40.39000","1.56000","0.70000","59.33000","40.67000","61.48000","38.52000","58.61000","41.39000","50.00000","50.00000",NULL,NULL
"12","Accenture","11","27.64000","9.05000","2.23000","1.34000","https://web.archive.org/web/20230604082305/https://www.accenture.com/ie-en/about/inclusion-diversity/ireland-gender-pay-gap","2022","29.22000","12.23000","-0.78000","-0.04000","67.00000","64.00000","67.00000","61.00000","51.00000","49.00000","49.00000","51.00000","51.00000","49.00000","46.00000","54.00000",NULL,NULL
"13","Actavo","12","-10.90000","4.40000","-42.90000","1.60000","https://actavo.com/images/uploads/general/Actavo_Group_Limited_Gender_Pay_Gap_Report_2022.pdf","2022",NULL,NULL,NULL,NULL,"38.50000","36.70000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13.10000","86.90000"
"14","Aer Lingus (all legal entities)","13","79.40000","30.50000","15.70000","14.10000","https://www.aerlingus.com/media/images/content/AerLingusGenderPayGapReport.pdf","2022","41.00000","3.50000","2.20000","1.10000","58.10000","14.70000","1.50000","4.70000","40.10000","59.90000","63.70000","36.30000","52.80000","47.20000","20.30000","79.70000",NULL,NULL
"15","AerCap","14","72.00000","56.00000","54.00000","28.00000","https://www.aercap.com/_assets/_e79c435076dd9ec445de9c9e9d52ed05/aercap/db/526/11967/file/AerCap+Gender+Pay+Gap+Report+2022.pdf","2022",NULL,NULL,"19.00000","41.00000","91.00000","93.00000","95.00000","98.00000","66.00000","34.00000","45.00000","55.00000","44.00000","56.00000","32.00000","68.00000","46.91000","53.08000"
"16","AIB","15","7.37000","18.40000","5.57000","14.44000","https://aib.ie/content/dam/aib/personal/docs/help-and-guidance/AIB-gender-pay-gap-report-2022.pdf","2022","-4.16000","-18.98000","2.63000","4.20000","0.90000","1.60000","91.80000","88.90000","58.40000","41.60000","64.20000","35.80000","63.00000","37.00000","39.90000","60.10000",NULL,NULL
"17","AIG (both legal entities)","16","48.00000","26.50000","33.00000","25.00000","https://www.aig.ie/content/dam/aig/emea/ireland/documents/misc/aig-ireland-gender-pay-gap-report-2022.pdf","2022",NULL,NULL,"-3.00000","0.00000","81.00000","91.00000","87.00000","80.00000","58.00000","42.00000","50.00000","50.00000","54.00000","46.00000","30.00000","70.00000",NULL,NULL
"18","Airbnb Ireland UC","17","29.30000","23.90000","9.60000","14.00000","https://news.airbnb.com/wp-content/uploads/sites/4/2022/12/Airbnb-Ireland-UC-Gender-Pay-Gap-2022.pdf","2022",NULL,NULL,NULL,NULL,"100.00000","100.00000","100.00000","100.00000","62.10000","37.90000","56.80000","43.20000","57.90000","42.10000","48.50000","51.50000",NULL,NULL
"19","Alcon Ireland","18","-13.70000","1.00000","4.10000","3.00000","https://uk.alcon.com/sites/g/files/rbvwei766/files/2022-12/Gender_Pay_Gap_Report_2022.pdf","2022","-28.70000","-14.00000","1.00000","-11.60000","85.80000","89.00000","100.00000","100.00000","57.00000","43.00000","62.00000","38.00000","70.00000","30.00000","66.00000","34.00000",NULL,NULL
"20","ALDI Ireland","19","-3.00000","13.20000","0.00000","2.20000","https://cdn.aldi-digital.co.uk/ET4mO3qq$0Lci4LtXg0rOUtDlTQ.pdf","2022","1.60000","1.60000","-7.60000","-1.10000","17.00000","13.00000","72.00000","74.00000","55.00000","45.00000","51.00000","49.00000","51.00000","49.00000","41.00000","59.00000",NULL,NULL
"21","Alliance Medical","20","48.00000","4.50000","74.00000","37.50000","https://www.alliancemedical.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf","2022","-7.00000","13.65000",NULL,NULL,"4.00000","4.00000",NULL,NULL,"91.00000","9.00000","84.00000","16.00000","53.00000","47.00000","77.00000","23.00000","76.00000","24.00000"
"22","Allianz Ireland","21","45.80000","19.80000","10.70000","13.90000","https://www.allianz.ie/content/dam/onemarketing/azie/allianz-ireland/en_us/documents/about/Allianz_Ireland_Gender_Pay_Gap_Dec_22.pdf","2022","-8.05000","-7.53000","7.01000","-11.87000","83.19000","84.06000","66.46000","64.35000","51.81000","48.19000","53.01000","46.99000","51.81000","48.19000","35.54000","64.46000",NULL,NULL
"23","Amazon Data Services Ireland Ltd","22","14.30000","4.30000","20.90000","6.00000","https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf","2022","43.50000","42.90000","-17.10000","-26.90000","79.70000","78.40000","82.70000","88.10000","20.00000","80.00000","14.00000","86.00000","17.00000","83.00000","13.00000","87.00000",NULL,NULL
"24","Amazon Development Centre Ireland Ltd ","23","37.20000","19.70000","40.20000","20.80000","https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf","2022",NULL,NULL,"5.00000","12.70000","93.70000","94.90000","93.70000","90.50000","20.00000","80.00000","13.00000","87.00000","6.00000","94.00000","8.00000","92.00000",NULL,NULL
"25","Amazon Ireland Support Services Ltd ","24","12.00000","7.80000","16.70000","8.60000","https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf","2022","0.00000","0.00000","0.00000","0.00000","87.20000","85.70000","86.10000","79.00000","63.00000","37.00000","59.00000","41.00000","60.00000","40.00000","50.00000","50.00000",NULL,NULL
"26","Amundi Ireland","25","68.90000","41.00000","19.10000","16.80000","https://www.amundi.ie/retail/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_ac479bcf-8447-4668-8ef5-f763ed634903_inline","2022",NULL,NULL,"-2.50000","-0.50000","85.10000","85.30000","93.40000","90.50000","36.80000","63.20000","46.00000","54.00000","39.30000","60.70000","15.70000","84.30000","34.30000","65.70000"
"27","An Garda Síochána: Garda Members","26",NULL,"4.81000",NULL,"3.94000","https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf","2022","-1.30000","-2.01000",NULL,NULL,NULL,NULL,NULL,NULL,"36.00000","64.00000","34.00000","66.00000","24.00000","76.00000","18.00000","82.00000","28.00000","72.00000"
"28","An Garda Síochána: Garda Staff","27",NULL,"2.67000",NULL,"-15.54000","https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf","2022","-10.59000","-7.19000","-1.27000","-0.71000",NULL,NULL,NULL,NULL,"67.00000","33.00000","64.00000","36.00000","86.00000","14.00000","69.00000","31.00000","72.00000","28.00000"
"29","An Post","28","8.20000","-0.86000","10.90000","0.49000","https://www.anpost.com/getmedia/016a351d-f97b-4ee5-b910-bd995fcfb93c/AnPostGenderReport2022.pdf","2022","-7.70000","-7.28000","2.30000","1.92000","10.58000","6.64000","0.00000","0.10000","31.00000","69.00000","19.00000","81.00000","17.00000","83.00000","32.00000","68.00000",NULL,NULL
"30","Aon Ireland (all legal entities)","29","64.20000","28.30000","50.90000","27.80000","https://www.aon.com/getmedia/2ead2c41-0026-43b5-ba73-d39cd809d868/Aon-Ireland-Gender-Pay-Gap-Report-2022-(web).pdf","2022","-0.50000","-49.30000","5.20000","-28.80000","86.10000","85.30000","93.20000","94.60000","69.00000","31.00000","59.60000","40.40000","52.50000","47.50000","26.60000","73.40000",NULL,NULL
"31","Apple Ireland (all legal entities)","30","11.00000","9.00000","0.00000","3.00000","https://www.apple.com/ie/legal/more-resources/docs/ie-gender-pay-gap-report-2022.pdf","2022","-45.00000","-18.00000","-4.00000","-4.00000","84.00000","89.00000","100.00000","100.00000","47.00000","53.00000","40.00000","60.00000","45.00000","55.00000","38.00000","62.00000",NULL,NULL
"32","Applegreen","31","57.84000","7.80000","50.00000","0.86000","https://applegreenstores.com/wp-content/uploads/2022/12/AG_Gender-Pay-Gap_2022.pdf","2022","1.40000","1.30000",NULL,NULL,"25.00000","20.00000","2.80000","2.60000","63.00000","37.00000","58.00000","42.00000","47.00000","53.00000","42.00000","57.00000",NULL,NULL
"33","Applus Car Testing Services Ltd. (Fortnightly) ","32","-203.90000","-0.30000","-214.20000","-4.90000","https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf","2022","0.00000","0.00000",NULL,NULL,NULL,NULL,"0.00000","0.00000","0.00000","100.00000","25.00000","75.00000","50.00000","50.00000","25.00000","75.00000",NULL,NULL
"34","Applus Car Testing Services Ltd. (Monthly)","33","0.00000","0.00000","100.00000","100.00000","https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf","2022","0.00000","0.00000",NULL,NULL,NULL,NULL,"0.00000","0.00000","0.00000","100.00000","0.00000","0.00000","0.00000","100.00000","0.00000","0.00000",NULL,NULL
"35","Applus Inspection Services Ltd. Ireland (Fortnightly)","34","56.28000","30.54000","60.33000","34.10000","https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf","2022","7.07000","7.90000","0.00000","0.00000","97.39000","98.85000","0.00000","0.16000","56.91000","43.09000","5.52000","94.48000","1.10000","98.90000","0.00000","100.00000",NULL,NULL
"36","Applus Inspection Services Ltd. Ireland (Monthly)","35","72.89000","42.00000","45.88000","50.38000","https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","84.62000","83.72000","0.00000","32.56000","71.43000","28.57000","7.14000","92.86000","7.14000","92.86000","7.14000","92.86000",NULL,NULL
"37","Arachas","36","52.60000","29.70000","32.10000","22.20000","https://www.arachas.ie/media/5yonmz5m/arachas-gender-pay-gap-report-2022.pdf","2022","40.24000","41.79000","0.79000","-28.67000","83.00000","78.00000","2.45000","5.18000","59.00000","41.00000","68.00000","32.00000","34.00000","66.00000","34.00000","66.00000",NULL,NULL
"38","Aramark: Avoca Handweavers Shops Limited","37","29.40000","-0.60000","9.80000","1.50000","https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5","2022","0.90000","0.90000",NULL,NULL,"3.00000","1.00000","0.30000","0.20000","62.20000","37.80000","60.70000","39.30000","58.00000","42.00000","56.40000","43.60000",NULL,NULL
"39","Aramark: Campbell Catering Limited","38","60.10000","13.50000","39.50000","5.10000","https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5","2022","1.00000","0.60000",NULL,NULL,"5.30000","5.80000","1.30000","2.50000","72.00000","28.00000","62.00000","38.00000","64.00000","36.00000","50.00000","50.00000",NULL,NULL
"40","Aramark: Vector Workplace and Facility Management Limited","39","-15.10000","32.30000","-29.60000","28.00000","https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5","2022","4.80000","1.70000","41.30000","1.20000","1.40000","6.80000","1.60000","30.50000","81.00000","19.00000","71.00000","29.00000","57.00000","43.00000","13.00000","87.00000",NULL,NULL
"41","Ardmac","40","24.00000","12.00000","32.00000","1.90000","https://www.ardmac.com/report-on-the-gender-pay-gap-at-ardmac/","2022",NULL,NULL,NULL,NULL,"80.00000","44.00000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12.00000","88.00000"
"42","Arrabawn","41","88.90000","8.90000","100.00000","6.20000","https://arrabawn.ie/wp-content/uploads/2022/12/Arrabawn-Gender-Pay-Gap-2022.12.pdf","2022","-35.80000","-63.90000","-3.90000","2.10000","38.00000","64.00000","2.10000","7.20000","25.00000","75.00000","17.00000","83.00000","21.00000","79.00000","12.00000","88.00000","18.50000","81.50000"
"43","Arthur Cox (including partners)","42","39.00000","52.00000","31.00000","17.00000","https://www.arthurcox.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-December-2022.pdf","2022",NULL,NULL,NULL,NULL,"92.00000","79.00000","38.00000","35.00000","64.00000","36.00000","65.00000","35.00000","63.00000","37.00000","37.00000","63.00000","64.00000","36.00000"
"44","Arup","43","42.30000","21.90000","26.40000","21.40000","https://www.arup.com/perspectives/publications/research/section/ireland-gender-pay-gap-report-2022","2022","8.30000","14.60000","23.30000","2.90000","92.10000","91.50000","63.10000","59.40000","47.70000","52.30000","45.10000","54.90000","33.70000","66.30000","25.10000","74.90000","39.00000","61.00000"
"45","ARYZTA Food Solutions Ireland","44","-34.60000","13.50000","-28.06000","10.57000","https://www.aryztafoodsolutions.ie/gender-pay-gap-report/","2022","23.09000","20.10000","0.00000","0.00000","25.00000","50.00000","1.25000","0.57000","46.88000","53.12000","33.33000","66.67000","25.00000","75.00000","20.63000","79.37000","31.50000","68.50000"
"46","Astellas Ireland (all legal entities)","45","-13.50000","4.30000","5.70000","14.00000","https://www.astellas.com/ie/system/files/mat-ie-non-2022-00066_astellas_2022_gender_pay_gap_report.pdf","2022",NULL,NULL,"8.70000","25.80000",NULL,NULL,"88.20000","91.00000","54.00000","46.00000","58.00000","42.00000","27.70000","72.30000","34.80000","65.20000",NULL,NULL
"47","Autodesk","46","18.80000","3.80000","-8.50000","0.50000","https://damassets.autodesk.net/content/dam/autodesk/www/campaigns/emea/docs/Ireland-gender-pay-gap-report-2022.pdf","2022",NULL,NULL,NULL,NULL,"88.00000","93.40000","100.00000","100.00000","40.30000","59.70000","53.50000","46.50000","46.50000","53.50000","47.10000","52.90000",NULL,NULL
"48","Aurivo Co-operative Society Ltd","47","5.00000","0.20000","0.10000","-11.00000","https://www.aurivo.ie/wp-content/uploads/2022/12/Aurivo-2022-Gender-Pay-Gap-.pdf","2022","-7.00000","-5.00000","4.00000","5.00000","57.00000","56.00000","4.00000","4.00000","17.00000","83.00000","10.00000","90.00000","26.00000","74.00000","16.00000","84.00000","17.00000","83.00000"
"49","Avaya","48","42.20000","22.10000","50.60000","22.10000","https://www.avaya.com/en/documents/avaya-ireland-gender-pay-gap-report-2022.pdf?t=0","2022","48.00000","48.00000",NULL,NULL,"76.70000","88.60000","44.70000","51.80000","46.00000","54.00000","35.00000","65.00000","20.00000","80.00000","9.00000","91.00000",NULL,NULL
"50","Aviva","49","39.80000","26.00000","37.70000","28.40000","https://static.aviva.io/content/dam/aviva-public/ie/pdfs/gender-pay-gap-report-2022.pdf","2022","72.10000","72.50000","0.70000","-0.20000","83.40000","86.30000","76.20000","74.20000","62.00000","38.00000","68.00000","32.00000","53.00000","47.00000","38.00000","62.00000","55.00000","45.00000"
"51","AWS EMEA SARL (Irish Branch)","50","3.60000","11.90000","19.80000","10.30000","https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf","2022","45.70000","45.70000","20.50000","0.00000","93.40000","94.70000","88.00000","89.70000","35.00000","65.00000","26.00000","74.00000","23.00000","77.00000","15.00000","85.00000",NULL,NULL
"52","BAM Ireland: Building","51","48.50000","38.69000","61.80000","40.99000","https://www.bamireland.ie/wp-content/uploads/2022/12/BAM-Ireland-Gender-Pay-Gap-Report-2022.pdf","2022","7.02000","-6.57000","-0.27000","-5.26000","29.50000","43.80000","100.00000","79.60000","29.25000","70.75000","19.81000","80.19000","3.77000","96.23000","4.72000","95.28000",NULL,NULL
"53","BAM Ireland: Civil","52","22.00000","29.20000","35.20000","29.70000","https://www.bamireland.ie/wp-content/uploads/2022/12/BAM-Ireland-Gender-Pay-Gap-Report-2022.pdf","2022","12.10000","20.98000","29.02000","-24.79000","25.00000","42.40000","98.50000","73.40000","50.00000","50.00000","38.64000","63.16000","21.43000","78.57000","12.28000","87.72000",NULL,NULL
"54","Bank of America","53","32.00000","19.00000","26.00000","20.00000","https://web.archive.org/web/20230403102926/https://about.bankofamerica.com/content/dam/about/pdfs/BRO-12-22-0021_Ireland%20Gender%20Pay_Secure%2012.13_version%202.pdf","2022","35.00000","48.00000",NULL,NULL,"61.00000","67.00000","95.00000","95.00000","51.00000","49.00000","49.00000","51.00000","30.00000","70.00000","35.00000","65.00000",NULL,NULL
"55","Bank of Ireland (exluding subsidiaries)","54",NULL,"20.50000",NULL,"17.10000","https://personalbanking.bankofireland.com/app/uploads/Final-BOI-Group-ROI-Gender-Pay-Gap-report.pdf","2022","-19.50000","-34.80000","-3.30000","0.00000",NULL,NULL,"90.20000","90.70000","63.00000","37.00000","61.00000","39.00000","60.00000","40.00000","38.00000","62.00000","56.00000","44.00000"
"56","Barclays Bank Ireland Plc","55","61.70000","33.90000","33.30000","19.90000","https://home.barclays/content/dam/home-barclays/documents/who-we-are/our-strategy/DandI/Barclays%20Ireland%20Gender%20Pay%20Gaps%202022.pdf","2022",NULL,NULL,NULL,NULL,"88.20000","91.30000","100.00000","100.00000","61.00000","39.00000","36.00000","64.00000","43.00000","57.00000","30.00000","70.00000",NULL,NULL
"57","Baxter Healthcare Ireland","56","6.99000","10.74000","13.73000","10.36000","https://www.baxterhealthcare.ie/sites/g/files/ebysai1646/files/2022-12/Ireland%20Gender%20Pay%20Gap%20Report%2020221202.pdf","2022","-3.35000","-4.54000","-0.58000","0.54000","83.11000","83.22000","74.72000","71.95000","60.34000","39.66000","51.20000","48.80000","46.15000","53.85000","37.35000","62.65000",NULL,NULL
"58","BDO Ireland","57","15.00000","17.00000","0.00000","11.00000","https://web.archive.org/web/20230403100140/https://www.bdo.ie/getattachment/Insights/2022/Gender-Pay-Gap-Report-2022/BDO-Ireland-Gender-Pay-Gap-Report-2022.pdf.aspx","2022","29.00000","8.00000",NULL,NULL,"21.00000","27.00000","93.00000","86.00000","49.00000","51.00000","64.00000","36.00000","64.00000","36.00000","42.00000","58.00000","55.00000","45.00000"
"59","Beckman Coulter Ireland Inc","58","7.30000","-4.00000","18.60000","-0.20000","https://media.beckmancoulter.com/-/media/diagnostics/corporate/images/diversityinclusion/2021-2022_ireland_gender_pay_report.pdf?rev=727ac64e933f4bfa9b97a5be478e4faa&hash=F8A81C049D38AC2CBEF91FB7961F3500","2022","15.20000","12.40000","-3.20000","-3.80000","85.40000","81.50000","92.30000","93.60000","55.60000","44.40000","35.10000","64.90000","48.10000","51.90000","41.50000","58.50000","45.10000","54.90000"
"60","Becton Dickinson Research Centre Ireland Limited","59","1.00000","0.00000","0.00000","0.00000","https://www.bd.com/documents/international/corporate/Becton%20Dickinson%20Research%20Centre%20Ireland%20Limited%20Gender%20Pay%20Gap%20Report%202022.pdf","2022",NULL,NULL,NULL,NULL,NULL,NULL,"76.00000","81.00000","26.00000","73.00000","41.00000","59.00000","32.00000","68.00000","18.00000","82.00000","30.00000","70.00000"
"61","Becton Dickinson: ClearStream Technologies Limited","60","2.80000","3.20000","8.00000","6.10000","https://www.bd.com/documents/international/corporate/ClearStream%20Technologies%20Ltd%20Gender%20Pay%20Gap%20Report%202022.pdf","2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"43.00000","57.00000","46.00000","54.00000","53.00000","47.00000","67.00000","37.00000","51.00000","49.00000"
"62","Bidvest Noonan","61","37.70000","10.90000","-12.00000","7.70000","https://bidvestnoonan.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-2022-IOI.pdf","2022","10.70000","5.90000",NULL,NULL,"1.30000","2.20000","3.30000","0.90000","80.00000","20.00000","64.00000","36.00000","35.00000","65.00000","31.00000","69.00000",NULL,NULL
"63","BioMarin","62","27.40000","14.70000","-6.80000","2.60000","https://www.biomarin.eu/wp-content/uploads/2022/12/BioMarin-GenderPayGap-Report2022-final-v.pdf","2022",NULL,NULL,NULL,NULL,"94.80000","91.80000","98.30000","98.70000","51.90000","48.10000","37.30000","62.70000","44.00000","56.00000","40.30000","59.70000","43.00000","57.00000"
"64","Blackrock Clinic","63","50.13000","16.52000","10.00000","1.22000","https://www.blackrockhealth.com/sites/default/files/2023-07/dBC113_BCHR_BLACKROCK_CLINIC_gender_pay_report_v6.pdf","2022","23.73000","9.41000","25.64000","14.34000","72.41000","55.56000","0.12000","0.00000","67.40000","32.60000","82.42000","17.58000","83.15000","16.85000","64.71000","35.29000","74.00000","26.00000"
"65","BNY Mellon: Fund Services DAC","66","16.00000","12.00000","12.00000","11.00000","https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/emea/bny-mellon-fund-services-ireland-fsi-dac-2022-report.pdf","2022",NULL,NULL,NULL,NULL,"83.00000","80.00000","98.00000","96.00000","51.00000","48.00000","45.00000","55.00000","44.00000","56.00000","36.00000","64.00000",NULL,NULL
"66","BNY Mellon: SA/NV, Dublin Branch","67","49.00000","25.00000","19.00000","14.00000","https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/emea/bny-mellon-dublin-branch-2022-gender-pay-gap-report.pdf","2022","-115.00000","-115.00000",NULL,NULL,"81.00000","75.00000","95.00000","96.00000","60.00000","40.00000","56.00000","44.00000","51.00000","49.00000","42.00000","58.00000",NULL,NULL
"67","Boliden Tara Mines","68","22.00000","20.00000","0.00000","23.00000","https://www.boliden.com/4afe4f/globalassets/operations/mines/tara/boliden-tara-mines-gender-pay-gap-report-2022.pdf","2022","27.00000","28.00000","18.00000","16.00000","89.00000","98.00000","12.00000","4.00000","18.00000","81.00000","10.00000","90.00000","2.00000","98.00000","1.00000","99.00000","8.00000","92.00000"
"68","Bord Gais Energy","69","38.10000","9.30000","8.20000","6.40000","https://assets-us-01.kc-usercontent.com/7dd6b71d-d672-0004-6a4d-7043e1d0db33/e0f0067d-b15f-4417-83b5-27b8110c1869/Gender%20Pay%20Gap%20Report%20Final.pdf","2022","31.10000","56.40000","3.80000","12.10000","93.00000","85.00000","95.00000","86.00000","47.00000","53.00000","40.00000","60.00000","41.00000","59.00000","35.00000","65.00000",NULL,NULL
"69","Bord na Mona","70","-21.50000","-10.89000","-16.80000","-8.20000","https://www.bordnamona.ie/wp-content/uploads/2022/12/Bord-an-Mona-Gender-Pay-Gap-2022-Report-2.pdf","2022","-52.78000","-44.65000","0.00000","0.00000","48.37000","39.02000","9.77000","8.39000","21.54000","78.46000","8.31000","91.69000","14.15000","85.85000","22.22000","77.78000",NULL,NULL
"70","Boston Scientific","71","27.40000","12.30000","13.90000","8.80000","https://www.bostonscientific.com/en-EU/about-us/corporate-social-responsibility/people/diversity-and-inclusion/gender-pay-gap-reporting-irl/2022.html","2022","-9.30000","-3.50000","-4.70000","-0.50000","86.50000","86.50000","80.00000","80.00000","50.20000","49.80000","45.90000","54.10000","41.70000","58.30000","34.20000","65.80000",NULL,NULL
"71","Britvic Ireland","72","-35.40000","0.60000","-224.50000","4.10000","https://www.britvic.com/media/uirmrhd1/britvic-ireland-gender-pay-gap-report.pdf","2022","-46.40000","-46.40000","20.30000","26.30000","85.10000","84.70000","4.50000","17.40000","22.94000","77.16000","11.11000","88.89000","15.15000","84.85000","16.00000","84.00000","16.00000","84.00000"
"72","Brown Thomas Arnotts","73","48.50000","10.60000","23.90000","0.20000","https://bta.a.bigcontent.io/v1/static/2022-Gender-Pay-Gap-Report","2022","-14.70000","-16.40000","2.80000","-1.50000","79.50000","71.50000","2.20000","2.80000","69.00000","31.00000","73.00000","27.00000","72.00000","28.00000","69.00000","31.00000",NULL,NULL
"73","BT Communications Ireland Ltd","74","32.90000","11.30000","10.70000","19.70000","https://www.btireland.com/docs/default-source/reports-and-policies--responsible-business/bt-ireland-gender-pay-gap-report-2022.pdf?sfvrsn=abf9f864_1/BT-Ireland-Gender-Pay-Gap-Report-2022.pdf","2022","47.90000","19.00000","-8.90000","-11.80000","68.40000","79.00000","90.00000","84.20000","39.90000","60.10000","29.10000","70.90000","29.10000","70.90000","22.20000","77.80000","30.00000","70.00000"
