"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
3M,https://www.3mireland.ie/3M/en_IE/company-uk/,Manufacturing,https://web.archive.org/web/20230404104551/https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2022.pdf,2022,7.4,2,20,-45,,,,,9,14,96,99,35,65,31,69,31,69,29,71,,
"A&L Goodbody (excluding equity partners)",https://www.algoodbody.com/,Law,https://www.algoodbody.com/files/uploads/news_insights_pub/ALG_Gender_Pay_Gap_Report_2022.PDF,2022,20.9,22.7,41.6,35.1,9.2,9.4,2.8,15.9,54.7,62.8,84.5,81.4,66.4,33.6,66.2,33.8,60.6,39.4,57.9,42.1,,
AA,https://www.theaa.ie/,"Insurance,Automotive",https://www.theaa.ie/wp-content/uploads/2022/12/2022-AA-Ireland-Gender-Pay-Gap-Report_External-Final-Dec-2022-2.pdf,2022,6,16,-36,-51,-39,2,17,14,76,80,28,37,53,47,24,76,19,81,27,73,31,69
"Abbott Ireland (all legal entities)",https://www.ie.abbott/homepage.html,Pharmaceutical,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/Gender-Gap-Infographic-Nov2022-CP-Abbott-Ireland.pdf,2022,12.2,7.7,23.2,5.7,-22,-19.3,4.7,-2.3,72.9,75.9,57.2,51.9,51.3,48.7,52,48,48.9,51.1,37.9,62.1,,
"AbbVie Sligo",https://www.abbvie.ie/,Pharmaceutical,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Sligo-FINAL.pdf,2022,11.6,10.9,19.1,18.2,41.9,41.8,5.5,11.3,86,94,74.4,84.2,36.3,63.7,30.6,69.4,32.8,67.2,28.1,71.9,32,68
"AbbVie Westport (Allergan)",https://www.abbvie.ie/,Pharmaceutical,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Westport-FINAL.pdf,2022,4.2,10.9,5.6,-56.4,83.7,86.5,-3.3,-2.7,91.6,92.1,90.1,93.6,41.4,58.6,37.2,62.8,50.7,49.3,42.2,57.8,43,57
"Ability West",https://www.abilitywest.ie/,Charity,https://static1.squarespace.com/static/58a315316b8f5bf7981d0c21/t/642413a0710b854607829541/1680085930179/Gender+Pay+Gap+Report+-+December+2022.pdf,2022,-1.66,-9.2,,,-10.64,-16.94,0.96,-5.22,,,,,75,25,81,19,87,13,80,20,81,19
"ABM (formerly Momentum Support)",https://abmireland.com/,"Facilities Services",https://abmireland.com/wp-content/uploads/2023/03/Momentum-Support-An-ABM-Company-Gender-Pay-Gap-Report-2022-Reg-No-IE091300-v3-1.pdf,2022,3.9,1.7,23.1,-17.3,0.2,1.8,,,2.8,3.7,0.9,1.2,77,23,69.1,30.9,64.5,35.5,64,36,68.67,31.33
"ABP Food Group: ABP Ireland",https://www.abpireland.com/,"Food & Drink",https://web.archive.org/web/20230403123714/https://www.abpireland.com/wp-content/uploads/2022/12/ABP-Ireland-GenderPayGap-Final-Report.pdf,2022,18.4,8.3,81.7,0,,,,,83,86.7,,,31.3,68.7,26.1,73.9,13.4,86.8,17,83,,
"ABP Food Group: C&D Foods",https://cdfoods.com/,"Food & Drink",https://cdfoods.com/wp-content/uploads/2023/12/CD-GenderPayGap-Final-Report-2022.pdf,2022,20.4,0,71.4,0,,,,,93,93.1,,,57.6,42.4,21,79,44.9,55.1,33.3,66.7,,
"ABP Food Group: Irish Country Meats",https://irishcountrymeats.com/,"Food & Drink",https://irishcountrymeats.com/wp-content/uploads/2022/12/20221221_ICM-GenderPayGap-final-draft-report.pdf,2022,15.1,7,64.8,0,,,,,66.9,72.8,,,41.1,58.9,23,77,21.9,78.1,21.2,78.8,,
Abtran,https://www.abtran.com/,"Professional Services",https://web.archive.org/web/20230404121929/https://www.abtran.com/wp-content/uploads/2022/12/Abtran%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,12.6,1.5,25.8,0,-24.31,-0.95,25.67,24.87,39.83,40.39,1.56,0.7,59.33,40.67,61.48,38.52,58.61,41.39,50,50,,
Accenture,https://www.accenture.com/ie-en,"Professional Services,Consultancy",https://web.archive.org/web/20230604082305/https://www.accenture.com/ie-en/about/inclusion-diversity/ireland-gender-pay-gap,2022,9.05,1.34,27.64,2.23,29.22,12.23,-0.78,-0.04,67,64,67,61,51,49,49,51,51,49,46,54,,
Actavo,https://actavo.com/,"Professional Services",https://actavo.com/images/uploads/general/Actavo_Group_Limited_Gender_Pay_Gap_Report_2022.pdf,2022,4.4,1.6,-10.9,-42.9,,,,,38.5,36.7,,,,,,,,,,,13.1,86.9
Aecom,https://aecom.com/ie/,"Construction,Engineering",https://publications.aecom.com/media/files/gender_pay_gap/2022/aecom_ireland_gender-pay-gap-report_2022.pdf,2022,17.1,25.7,30.1,46.7,-32,-52,-41.3,-16.6,39,36,93,89,41,59,37,63,28,72,19,81,31,69
"Aer Lingus (all legal entities)",https://www.aerlingus.com/html/en-US/home.html,Aviation,https://www.aerlingus.com/media/images/content/AerLingusGenderPayGapReport.pdf,2022,30.5,14.1,79.4,15.7,41,3.5,2.2,1.1,58.1,14.7,1.5,4.7,40.1,59.9,63.7,36.3,52.8,47.2,20.3,79.7,,
AerCap,https://www.aercap.com/,Aviation,https://www.aercap.com/_assets/_e79c435076dd9ec445de9c9e9d52ed05/aercap/db/526/11967/file/AerCap+Gender+Pay+Gap+Report+2022.pdf,2022,56,28,72,54,,,19,41,91,93,95,98,66,34,45,55,44,56,32,68,46.91,53.08
AIB,https://aib.ie/,"Banking,Financial",https://aib.ie/content/dam/aib/personal/docs/help-and-guidance/AIB-gender-pay-gap-report-2022.pdf,2022,18.4,14.44,7.37,5.57,-4.16,-18.98,2.63,4.2,0.9,1.6,91.8,88.9,58.4,41.6,64.2,35.8,63,37,39.9,60.1,,
"AIG (both legal entities)",https://www.aig.ie/,Insurance,https://www.aig.ie/content/dam/aig/emea/ireland/documents/misc/aig-ireland-gender-pay-gap-report-2022.pdf,2022,26.5,25,48,33,,,-3,0,81,91,87,80,58,42,50,50,54,46,30,70,,
"Airbnb Ireland UC",https://www.airbnb.ie/,"Technology,Software",https://news.airbnb.com/wp-content/uploads/sites/4/2022/12/Airbnb-Ireland-UC-Gender-Pay-Gap-2022.pdf,2022,23.9,14,29.3,9.6,,,,,100,100,100,100,62.1,37.9,56.8,43.2,57.9,42.1,48.5,51.5,,
"Alcon Ireland",https://www.alcon.com/,"Pharmaceutical,Medical",https://uk.alcon.com/sites/g/files/rbvwei766/files/2022-12/Gender_Pay_Gap_Report_2022.pdf,2022,1,3,-13.7,4.1,-28.7,-14,1,-11.6,85.8,89,100,100,57,43,62,38,70,30,66,34,,
"ALDI Ireland",https://www.aldi.ie/,Retail,https://cdn.aldi-digital.co.uk/ET4mO3qq$0Lci4LtXg0rOUtDlTQ.pdf,2022,13.2,2.2,-3,0,1.6,1.6,-7.6,-1.1,17,13,72,74,55,45,51,49,51,49,41,59,,
Alexion,https://alexion.com/worldwide/Ireland,Pharmaceutical,https://alexion.com/documents/alexion_gender_pay_gap_report_2022,2022,24.2,17.9,48.1,23.3,26,18.1,-2,9.6,77.2,80.6,73.1,74.6,56.9,43.1,47.9,52.1,41.7,58.3,38.6,61.4,46,54
"Alliance Medical",https://www.alliancemedical.ie/,Healthcare,https://www.alliancemedical.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,4.5,37.5,48,74,-7,13.65,,,4,4,,,91,9,84,16,53,47,77,23,76,24
"Allianz Ireland",https://www.allianz.ie/,"Insurance,Financial",https://www.allianz.ie/content/dam/onemarketing/azie/allianz-ireland/en_us/documents/about/Allianz_Ireland_Gender_Pay_Gap_Dec_22.pdf,2022,19.8,13.9,45.8,10.7,-8.05,-7.53,7.01,-11.87,83.19,84.06,66.46,64.35,51.81,48.19,53.01,46.99,51.81,48.19,35.54,64.46,,
"Amazon Data Services Ireland Ltd",https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,4.3,6,14.3,20.9,43.5,42.9,-17.1,-26.9,79.7,78.4,82.7,88.1,20,80,14,86,17,83,13,87,,
"Amazon Development Centre Ireland Ltd ",https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,19.7,20.8,37.2,40.2,,,5,12.7,93.7,94.9,93.7,90.5,20,80,13,87,6,94,8,92,,
"Amazon Ireland Support Services Ltd ",https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,7.8,8.6,12,16.7,0,0,0,0,87.2,85.7,86.1,79,63,37,59,41,60,40,50,50,,
"Amundi Ireland",https://www.amundi.ie/retail,Financial,https://www.amundi.ie/retail/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_ac479bcf-8447-4668-8ef5-f763ed634903_inline,2022,41,16.8,68.9,19.1,,,-2.5,-0.5,85.1,85.3,93.4,90.5,36.8,63.2,46,54,39.3,60.7,15.7,84.3,34.3,65.7
"An Garda Síochána: Garda Members",https://garda.ie/en/,"Public Service",https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022,4.81,3.94,,,-1.3,-2.01,,,,,,,36,64,34,66,24,76,18,82,28,72
"An Garda Síochána: Garda Staff",https://garda.ie/en/,"Public Service",https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022,2.67,-15.54,,,-10.59,-7.19,-1.27,-0.71,,,,,67,33,64,36,86,14,69,31,72,28
"An Post",https://www.anpost.com/,"Public Service,Logistics",https://www.anpost.com/getmedia/016a351d-f97b-4ee5-b910-bd995fcfb93c/AnPostGenderReport2022.pdf,2022,-0.86,0.49,8.2,10.9,-7.7,-7.28,2.3,1.92,10.58,6.64,0,0.1,31,69,19,81,17,83,32,68,,
"Analog Devices",https://www.analog.com/en/index.html,"Technology,Hardware",https://www.analog.com/media/en/company-csr/2022-ireland-pay-gap-analysis.pdf,2022,22.6,19.6,33,33.5,16,0.2,,,77,83.7,81.4,87.8,30.6,69.4,27.2,72.8,17.6,82.4,11.6,88.4,,
"Aon Ireland (all legal entities)",https://www.aon.com/ireland/default.jsp,Insurance,https://www.aon.com/getmedia/2ead2c41-0026-43b5-ba73-d39cd809d868/Aon-Ireland-Gender-Pay-Gap-Report-2022-(web).pdf,2022,28.3,27.8,64.2,50.9,-0.5,-49.3,5.2,-28.8,86.1,85.3,93.2,94.6,69,31,59.6,40.4,52.5,47.5,26.6,73.4,,
"Apple Ireland (all legal entities)",https://www.apple.com/ie/,"Technology,Software,Hardware",https://www.apple.com/ie/legal/more-resources/docs/ie-gender-pay-gap-report-2022.pdf,2022,9,3,11,0,-45,-18,-4,-4,84,89,100,100,47,53,40,60,45,55,38,62,,
Applegreen,https://applegreenstores.com/,Retail,https://applegreenstores.com/wp-content/uploads/2022/12/AG_Gender-Pay-Gap_2022.pdf,2022,7.8,0.86,57.84,50,1.4,1.3,,,25,20,2.8,2.6,63,37,58,42,47,53,42,57,,
"Applus Car Testing Services Ltd. (Fortnightly) ",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,-0.3,-4.9,-203.9,-214.2,0,0,,,,,0,0,0,100,25,75,50,50,25,75,,
"Applus Car Testing Services Ltd. (Monthly)",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,0,100,0,100,0,0,,,,,0,0,0,100,0,0,0,100,0,0,,
"Applus Inspection Services Ltd. Ireland (Fortnightly)",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,30.54,34.1,56.28,60.33,7.07,7.9,0,0,97.39,98.85,0,0.16,56.91,43.09,5.52,94.48,1.1,98.9,0,100,,
"Applus Inspection Services Ltd. Ireland (Monthly)",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,42,50.38,72.89,45.88,0,0,0,0,84.62,83.72,0,32.56,71.43,28.57,7.14,92.86,7.14,92.86,7.14,92.86,,
Arachas,https://www.arachas.ie/,Insurance,https://www.arachas.ie/media/5yonmz5m/arachas-gender-pay-gap-report-2022.pdf,2022,29.7,22.2,52.6,32.1,40.24,41.79,0.79,-28.67,83,78,2.45,5.18,59,41,68,32,34,66,34,66,,
"Aramark: Avoca Handweavers Shops Limited",https://www.avoca.com/en,Retail,https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,-0.6,1.5,29.4,9.8,0.9,0.9,,,3,1,0.3,0.2,62.2,37.8,60.7,39.3,58,42,56.4,43.6,,
"Aramark: Campbell Catering Limited",https://northerneurope.aramark.com/ie/home,"Food & Drink,Catering",https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,13.5,5.1,60.1,39.5,1,0.6,,,5.3,5.8,1.3,2.5,72,28,62,38,64,36,50,50,,
"Aramark: Vector Workplace and Facility Management Limited",https://northerneurope.aramark.com/ie/home,"Facilities Services",https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,32.3,28,-15.1,-29.6,4.8,1.7,41.3,1.2,1.4,6.8,1.6,30.5,81,19,71,29,57,43,13,87,,
"Arcadis (DPS Group Global)",https://www.dpsgroupglobal.com/,"Project Management,Engineering",https://www.dpsgroupglobal.com/contentFiles/files/DPS_Gender_Pay_Gap_Report_2022_R3.pdf,2022,24.3,28.8,54.12,41.6,45.9,27.3,22.8,33.3,64.9,63.8,98,98,,,,,,,,,32.3,67.6
Ardmac,https://www.ardmac.com/,Construction,https://www.ardmac.com/report-on-the-gender-pay-gap-at-ardmac/,2022,12,1.9,24,32,,,,,80,44,,,,,,,,,,,12,88
Argos,https://www.argos.co.uk/features/republic-of-ireland,Retail,https://www.about.sainsburys.co.uk/~/media/Files/S/Sainsburys/documents/roi-pay-gap-2021-22.pdf,2022,2.83,1.45,13.51,2.96,0.33,-4.43,10.8,-0.08,86.83,82.09,0.3,0.37,52.32,47.68,60.93,39.07,53.33,46.67,53.33,44.67,,
Arrabawn,https://arrabawn.ie/,Agriculture,https://arrabawn.ie/wp-content/uploads/2022/12/Arrabawn-Gender-Pay-Gap-2022.12.pdf,2022,8.9,6.2,88.9,100,-35.8,-63.9,-3.9,2.1,38,64,2.1,7.2,25,75,17,83,21,79,12,88,18.5,81.5
"Arthur Cox (including partners)",https://www.arthurcox.com/,Law,https://www.arthurcox.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-December-2022.pdf,2022,52,17,39,31,,,,,92,79,38,35,64,36,65,35,63,37,37,63,64,36
Arup,https://www.arup.com/,"Consultancy,Engineering",https://www.arup.com/perspectives/publications/research/section/ireland-gender-pay-gap-report-2022,2022,21.9,21.4,42.3,26.4,8.3,14.6,23.3,2.9,92.1,91.5,63.1,59.4,47.7,52.3,45.1,54.9,33.7,66.3,25.1,74.9,39,61
"ARYZTA Food Solutions Ireland",https://aryzta.ie/,"Food & Drink",https://www.aryztafoodsolutions.ie/gender-pay-gap-report/,2022,13.5,10.57,-34.6,-28.06,23.09,20.1,0,0,25,50,1.25,0.57,46.88,53.12,33.33,66.67,25,75,20.63,79.37,31.5,68.5
"Astellas Ireland (all legal entities)",https://www.astellas.com/ie,Pharmaceutical,https://www.astellas.com/ie/system/files/mat-ie-non-2022-00066_astellas_2022_gender_pay_gap_report.pdf,2022,4.3,14,-13.5,5.7,,,8.7,25.8,,,88.2,91,54,46,58,42,27.7,72.3,34.8,65.2,,
"Atlantic Technological University (formerly Galway-Mayo Institute of Technology)",https://www.gmit.ie/,Education,https://www.atu.ie/sites/default/files/2023-02/ATU%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,9.7,7.7,,,7.5,15.1,9.5,16.2,,,,,63.5,36.5,59.6,40.4,53,47,47.5,52.5,55.9,44.1
"Aurivo Co-operative Society Ltd",https://www.aurivo.ie/,Agriculture,https://www.aurivo.ie/wp-content/uploads/2022/12/Aurivo-2022-Gender-Pay-Gap-.pdf,2022,0.2,-11,5,0.1,-7,-5,4,5,57,56,4,4,17,83,10,90,26,74,16,84,17,83
Autodesk,https://www.autodesk.eu/,"Technology,Software",https://damassets.autodesk.net/content/dam/autodesk/www/campaigns/emea/docs/Ireland-gender-pay-gap-report-2022.pdf,2022,3.8,0.5,18.8,-8.5,,,,,88,93.4,100,100,40.3,59.7,53.5,46.5,46.5,53.5,47.1,52.9,,
Avaya,https://www.avaya.com/en/,"Technology,Software",https://www.avaya.com/en/documents/avaya-ireland-gender-pay-gap-report-2022.pdf?t=0,2022,22.1,22.1,42.2,50.6,48,48,,,76.7,88.6,44.7,51.8,46,54,35,65,20,80,9,91,,
Aviva,https://www.aviva.ie/,"Insurance,Financial",https://static.aviva.io/content/dam/aviva-public/ie/pdfs/gender-pay-gap-report-2022.pdf,2022,26,28.4,39.8,37.7,72.1,72.5,0.7,-0.2,83.4,86.3,76.2,74.2,62,38,68,32,53,47,38,62,55,45
"Aviva Group Services",https://www.aviva.ie/group/,"Insurance,Financial",https://web.archive.org/web/20230403113325/https://static.aviva.io/content/dam/aviva-public/ie/pdfs/gender-pay-gap-report-2022.pdf,2022,25.1,25.2,40.9,34.6,72.1,82.8,1.2,-0.8,84.6,87.4,77,74.4,60,40,68,32,48,52,37,63,53,47
"AWS EMEA SARL (Irish Branch)",https://aws.amazon.com/?nc2=h_lg,"Technology,Software",https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,11.9,10.3,3.6,19.8,45.7,45.7,20.5,0,93.4,94.7,88,89.7,35,65,26,74,23,77,15,85,,
"Axa Insurance",https://www.axa.ie/,Insurance,https://www.axa.ie/download/axa-insurance-dac-gender-pay-report-2022.pdf,2022,14.3,8.8,26.5,17,0.8,-15,,,89,90,18,21,52,48,55,45,60,40,41,59,52,48
"B&Q Ireland",https://www.diy.ie/,Retail,https://media.diy.com/is/content/KingfisherDigital/Brand-roi-gender-pay-gap~218fe1c32b2ef3707e80cafbe10b253093446d70pdf,2022,12.8,-2.6,71,0,-0.1,-4.2,-4.7,-2,93.9,85.6,22.3,17.3,45,55,51,49,61,39,46,54,51,49
"BAM Ireland: Building",https://www.bamireland.ie/,Construction,https://www.bamireland.ie/wp-content/uploads/2022/12/BAM-Ireland-Gender-Pay-Gap-Report-2022.pdf,2022,38.69,40.99,48.5,61.8,7.02,-6.57,-0.27,-5.26,29.5,43.8,100,79.6,29.25,70.75,19.81,80.19,3.77,96.23,4.72,95.28,,
"BAM Ireland: Civil",https://www.bamireland.ie/,Construction,https://www.bamireland.ie/wp-content/uploads/2022/12/BAM-Ireland-Gender-Pay-Gap-Report-2022.pdf,2022,29.2,29.7,22,35.2,12.1,20.98,29.02,-24.79,25,42.4,98.5,73.4,50,50,38.64,63.16,21.43,78.57,12.28,87.72,,
"Bank of America",https://www.bankofamerica.com/,"Banking,Financial",https://web.archive.org/web/20230403102926/https://about.bankofamerica.com/content/dam/about/pdfs/BRO-12-22-0021_Ireland%20Gender%20Pay_Secure%2012.13_version%202.pdf,2022,19,20,32,26,35,48,,,61,67,95,95,51,49,49,51,30,70,35,65,,
"Bank of Ireland (exluding subsidiaries)",https://www.bankofireland.com/,"Banking,Financial",https://personalbanking.bankofireland.com/app/uploads/Final-BOI-Group-ROI-Gender-Pay-Gap-report.pdf,2022,20.5,17.1,,,-19.5,-34.8,-3.3,0,,,90.2,90.7,63,37,61,39,60,40,38,62,56,44
"Barclays Bank Ireland Plc",https://privatebank.barclays.com/,"Banking,Financial",https://home.barclays/content/dam/home-barclays/documents/who-we-are/our-strategy/DandI/Barclays%20Ireland%20Gender%20Pay%20Gaps%202022.pdf,2022,33.9,19.9,61.7,33.3,,,,,88.2,91.3,100,100,61,39,36,64,43,57,30,70,,
"Baxter Healthcare Ireland",https://www.baxterhealthcare.ie/,"Technology,Hardware,Medical",https://www.baxterhealthcare.ie/sites/g/files/ebysai1646/files/2022-12/Ireland%20Gender%20Pay%20Gap%20Report%2020221202.pdf,2022,10.74,10.36,6.99,13.73,-3.35,-4.54,-0.58,0.54,83.11,83.22,74.72,71.95,60.34,39.66,51.2,48.8,46.15,53.85,37.35,62.65,,
"BDO Ireland",https://www.bdo.ie/,"Financial,Accountancy",https://web.archive.org/web/20230403100140/https://www.bdo.ie/getattachment/Insights/2022/Gender-Pay-Gap-Report-2022/BDO-Ireland-Gender-Pay-Gap-Report-2022.pdf.aspx,2022,17,11,15,0,29,8,,,21,27,93,86,49,51,64,36,64,36,42,58,55,45
"Beacon Hospital",https://www.beaconhospital.ie/,Healthcare,https://www.beaconhospital.ie/wp-content/uploads/2023/01/Beacon-Hospital-Gender-Pay-Gap-Report-2022.pdf,2022,6.74,-1.53,49.13,0,-3.54,4.58,8.58,21.1,83.9,78.7,45.51,39.91,68,32,75,25,78,22,67,33,72,28
"Beaumont Hospital",http://www.beaumont.ie/,Healthcare,http://www.beaumont.ie/media/GenderPayGapReport20221.pdf,2022,22,4,,,18,0,18,22,,,,,73,27,75,25,81,19,61,39,72,28
"Beauparc Panda Waste",https://beauparc.ie/,"Waste Management",https://beauparc.ie/wp-content/uploads/2023/07/Beauparc-GPR.pdf,2022,-7.6,1.6,-36,23.9,-15.2,4.9,,,,,,,14,86,16,84,8,92,21,79,,
"Beckman Coulter Ireland Inc",https://www.beckman.com/contact-us/ireland,"Technology,Hardware,Medical",https://media.beckmancoulter.com/-/media/diagnostics/corporate/images/diversityinclusion/2021-2022_ireland_gender_pay_report.pdf?rev=727ac64e933f4bfa9b97a5be478e4faa&hash=F8A81C049D38AC2CBEF91FB7961F3500,2022,-4,-0.2,7.3,18.6,15.2,12.4,-3.2,-3.8,85.4,81.5,92.3,93.6,55.6,44.4,35.1,64.9,48.1,51.9,41.5,58.5,45.1,54.9
"Becton Dickinson Research Centre Ireland Limited",https://www.bd.com/en-eu/,"Technology,Hardware,Medical",https://web.archive.org/web/20230831201745/https://www.bd.com/documents/international/corporate/Becton%20Dickinson%20Research%20Centre%20Ireland%20Limited%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,0,0,1,0,,,,,,,76,81,26,73,41,59,32,68,18,82,30,70
"Becton Dickinson: ClearStream Technologies Limited",https://www.bd.com/en-eu/,"Pharmaceutical,Medical",https://web.archive.org/web/20230403151443/https://www.bd.com/documents/international/corporate/ClearStream%20Technologies%20Ltd%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,3.2,6.1,2.8,8,,,,,,,,,43,57,46,54,53,47,67,37,51,49
"Bidvest Noonan",https://bidvestnoonan.ie/,"Facilities Services",https://bidvestnoonan.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-2022-IOI.pdf,2022,10.9,7.7,37.7,-12,10.7,5.9,,,1.3,2.2,3.3,0.9,80,20,64,36,35,65,31,69,,
BioMarin,https://www.biomarin.com/,"Pharmaceutical,Medical",https://www.biomarin.eu/wp-content/uploads/2022/12/BioMarin-GenderPayGap-Report2022-final-v.pdf,2022,14.7,2.6,27.4,-6.8,,,,,94.8,91.8,98.3,98.7,51.9,48.1,37.3,62.7,44,56,40.3,59.7,43,57
"Blackrock Clinic",https://www.blackrockhealth.com/,Healthcare,https://www.blackrockhealth.com/sites/default/files/2023-07/dBC113_BCHR_BLACKROCK_CLINIC_gender_pay_report_v6.pdf,2022,16.52,1.22,50.13,10,23.73,9.41,25.64,14.34,72.41,55.56,0.12,0,67.4,32.6,82.42,17.58,83.15,16.85,64.71,35.29,74,26
"BMS (BMS Ireland)",https://www.bms.com/ie,"Pharmaceutical,Medical",https://www.bms.com/assets/bms/gb/en_gb/images/BMS_Ireland%20Gender_Pay_Gap_Report_A4_v1.0_APPROVED.pdf,2022,19.9,15.5,24.6,14.3,,,6.6,29.8,91.7,92.3,92.4,93.5,63.8,36.2,53.4,46.6,45.1,54.9,35.9,64.1,,
"BMS (Swords Laboratories Ireland)",https://www.bms.com/ie,"Pharmaceutical,Medical",https://www.bms.com/assets/bms/gb/en_gb/images/BMS_Ireland%20Gender_Pay_Gap_Report_A4_v1.0_APPROVED.pdf,2022,20.4,15.1,24.6,12.9,,,6.6,29.8,91.6,92.1,92.1,93.3,63.3,36.7,54.3,45.7,44.2,55.8,35.4,64.6,,
"BNY Mellon: Fund Services DAC",https://www.bnymellon.com/ie/en.html,Financial,https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/emea/bny-mellon-fund-services-ireland-fsi-dac-2022-report.pdf,2022,12,11,16,12,,,,,83,80,98,96,51,48,45,55,44,56,36,64,,
"BNY Mellon: SA/NV Dublin Branch",https://www.bnymellon.com/ie/en.html,Financial,https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/emea/bny-mellon-dublin-branch-2022-gender-pay-gap-report.pdf,2022,25,14,49,19,-115,-115,,,81,75,95,96,60,40,56,44,51,49,42,58,,
"Boliden Tara Mines",https://www.boliden.com/operations/mines/boliden-tara,Mining,https://www.boliden.com/4afe4f/globalassets/operations/mines/tara/boliden-tara-mines-gender-pay-gap-report-2022.pdf,2022,20,23,22,0,27,28,18,16,89,98,12,4,18,81,10,90,2,98,1,99,8,92
"Bon Secours",https://www.bonsecours.ie/,Healthcare,https://www.bonsecours.ie/contentFiles/Bon_Secours_Gender_Pay_Gap_Report_2022.pdf,2022,15.15,-5.19,,,13.28,-34.54,12.71,-14.56,,,0.03,0.74,81,19,82,18,88,12,79,21,84,16
Boots,https://www.boots.ie/,Retail,https://boots.scene7.com/is/content/Boots/PDFs/Boots%20Ireland%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,27.94,4.41,63.29,36,-2.5,-3.26,4.24,0.25,85.63,80.48,0.62,2.39,90.39,9.61,90.2,9.8,89.65,10.35,83.39,16.61,88.4,11.6
"Bord Gais Energy",https://www.bordgaisenergy.ie/,Energy,https://assets-us-01.kc-usercontent.com/7dd6b71d-d672-0004-6a4d-7043e1d0db33/e0f0067d-b15f-4417-83b5-27b8110c1869/Gender%20Pay%20Gap%20Report%20Final.pdf,2022,9.3,6.4,38.1,8.2,31.1,56.4,3.8,12.1,93,85,95,86,47,53,40,60,41,59,35,65,,
