"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Kepak Athleague",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/wp-content/uploads/2017/07/2022-12-kepak-GPGR-IRL.pdf,2022,9.18,8.79,29.08,-170.39,0,0,0,0,40,41,2,11,33,67,21,79,8,92,12,88,,
"Kepak Clonee",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/wp-content/uploads/2017/07/2022-12-kepak-GPGR-IRL.pdf,2022,26.11,17.76,67.06,-10.25,34,64,0,0,36,58,2,8,50,50,31,69,16,84,25,75,,
"Kepak Convenience Foods",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/wp-content/uploads/2017/07/2022-12-kepak-GPGR-IRL.pdf,2022,14.76,10.76,47.39,63.13,0,0,0,0,75,71,34,8,61,39,42,58,64,36,22,78,,
"Kepak Cork",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/wp-content/uploads/2017/07/2022-12-kepak-GPGR-IRL.pdf,2022,6.84,8.27,57.87,71.84,100,100,0,0,64,77,3,3,47,53,27,73,14,86,17,83,,
"Kepak Longford",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/wp-content/uploads/2017/07/2022-12-kepak-GPGR-IRL.pdf,2022,4.04,12.29,41.82,38.34,100,100,0,0,70,83,3,11,41,59,14,86,0,100,23,77,,
"Kepak McCarren Meats",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/wp-content/uploads/2017/07/2022-12-kepak-GPGR-IRL.pdf,2022,8.45,11.37,37.8,51.7,0,0,0,0,79,92,0,0,41,59,39,61,18,82,18,82,,
"Kerry County Council",https://www.kerrycoco.ie/,"Public Service,Council",https://www.kerrycoco.ie/wp-content/uploads/2022/12/2022-Gender-Pay-Gap.pdf,2022,-1.63,-0.8,,,-18.6,-1.64,-7.76,-7.1,,,0,0.2,24.8,75.2,33.96,66.04,35.68,64.32,31.54,68.46,32,68
"Kerry Education and Training Board",https://www.kerryetb.ie/,Education,https://www.kerryetb.ie/wp-content/uploads/2023/02/Kerry-ETB-Gender-pay-gap-statement-2022-English-Version.pdf,2022,-11.16,-5.7,,,-49.78,-1.54,,,,,,,52.63,47.37,50.43,49.57,54.13,45.87,48.85,51.15,65,35
"Kerry Group",https://www.kerry.com/,"Food & Drink",https://www.kerry.com/content/dam/kerry/en/pdf/about/policies-and-statements/irish-gender-pay-report-2022.pdf,2022,6.4,5.2,-5.9,13,-7.8,27.5,-15.9,-9.8,26,22.4,0.5,1.2,44.5,55.5,34.2,65.8,31.7,68.3,37.7,62.3,,
"Keywords International Ltd. (Dublin Studio)",https://www.keywordsstudios.com/en/,"Technology,Software",https://www.keywordsstudios.com/download/file/b3lkRTErd3FqSnNRbHRFQ0EyeGFOQT09/OUR-GENDER-PAY-GAP-REPORT/,2022,2.8,2.8,10,0,-4,-1,-29.5,-17.5,48,53,11,13,49,51,47,53,44,56,38,62,44,56
